ym;kraj;okres;suma_spolu;pocet;priemerna_suma;strana
2011-02-01;Bratislavský kraj;BA;85171;2;42585.5;objednavatel
2011-02-01;Košický kraj;KE;8200;1;8200;objednavatel
2011-03-01;Banskobystrický kraj;Banská Bystrica;13065332.508;333;39235.2327567568;objednavatel
2011-03-01;Banskobystrický kraj;Banská Štiavnica;66752.75;18;3708.48611111111;objednavatel
2011-03-01;Banskobystrický kraj;Brezno;8139122.33;153;53196.8779738562;objednavatel
2011-03-01;Banskobystrický kraj;Detva;2107.12;7;301.017142857143;objednavatel
2011-03-01;Banskobystrický kraj;Krupina;90;2;45;objednavatel
2011-03-01;Banskobystrický kraj;Lučenec;525561;41;12818.5609756098;objednavatel
2011-03-01;Banskobystrický kraj;Revúca;1991752.87;36;55326.4686111111;objednavatel
2011-03-01;Banskobystrický kraj;Rimavská Sobota;75822.62;12;6318.55166666667;objednavatel
2011-03-01;Banskobystrický kraj;Veľký Krtíš;88989.77;19;4683.67210526316;objednavatel
2011-03-01;Banskobystrický kraj;Zvolen;1410154.51;89;15844.4326966292;objednavatel
2011-03-01;Banskobystrický kraj;Žarnovica;244708.53;14;17479.1807142857;objednavatel
2011-03-01;Banskobystrický kraj;Žiar nad Hronom;355.96;8;44.495;objednavatel
2011-03-01;Bratislavský kraj;BA;1278449895.9149;4829;264744.231914454;objednavatel
2011-03-01;Bratislavský kraj;Malacky;4793;2;2396.5;objednavatel
2011-03-01;Bratislavský kraj;Pezinok;113289;12;9440.75;objednavatel
2011-03-01;Bratislavský kraj;Senec;6885.36;3;2295.12;objednavatel
2011-03-01;Košický kraj;Gelnica;22935;2;11467.5;objednavatel
2011-03-01;Košický kraj;KE;24122265.09;351;68724.401965812;objednavatel
2011-03-01;Košický kraj;Košice-okolie;21285.89;14;1520.42071428571;objednavatel
2011-03-01;Košický kraj;Michalovce;11130805.88;19;585831.888421053;objednavatel
2011-03-01;Košický kraj;Rožňava;116900.35;46;2541.31195652174;objednavatel
2011-03-01;Košický kraj;Sobrance;12659.95;11;1150.90454545455;objednavatel
2011-03-01;Košický kraj;Spišská Nová Ves;9547.26;22;433.966363636364;objednavatel
2011-03-01;Košický kraj;Trebišov;5314856.054;219;24268.7491050228;objednavatel
2011-03-01;Nitriansky kraj;Komárno;438484.89;17;25793.2288235294;objednavatel
2011-03-01;Nitriansky kraj;Levice;824122.969;60;13735.3828166667;objednavatel
2011-03-01;Nitriansky kraj;Nitra;2817629.41;243;11595.1827572016;objednavatel
2011-03-01;Nitriansky kraj;Nové Zámky;252471.76;81;3116.93530864198;objednavatel
2011-03-01;Nitriansky kraj;Šaľa;2832.23;5;566.446;objednavatel
2011-03-01;Nitriansky kraj;Topoľčany;25635.32;22;1165.24181818182;objednavatel
2011-03-01;Nitriansky kraj;Zlaté Moravce;22969.85;14;1640.70357142857;objednavatel
2011-03-01;Prešovský kraj;Bardejov;33344600.113;363;91858.4025151515;objednavatel
2011-03-01;Prešovský kraj;Humenné;26478.16;12;2206.51333333333;objednavatel
2011-03-01;Prešovský kraj;Kežmarok;590;2;295;objednavatel
2011-03-01;Prešovský kraj;Levoča;2951;13;227;objednavatel
2011-03-01;Prešovský kraj;Medzilaborce;0;3;0;objednavatel
2011-03-01;Prešovský kraj;Poprad;7624.8;8;953.1;objednavatel
2011-03-01;Prešovský kraj;Prešov;8032.02;11;730.183636363636;objednavatel
2011-03-01;Prešovský kraj;Sabinov;1970.56;11;179.141818181818;objednavatel
2011-03-01;Prešovský kraj;Snina;1581.7;9;175.744444444444;objednavatel
2011-03-01;Prešovský kraj;Stará Ľubovňa;13962.92;10;1396.292;objednavatel
2011-03-01;Prešovský kraj;Stropkov;0;3;0;objednavatel
2011-03-01;Prešovský kraj;Svidník;2154.68;17;126.745882352941;objednavatel
2011-03-01;Prešovský kraj;Vranov nad Topľou;10018.37;20;500.9185;objednavatel
2011-03-01;Trenčiansky kraj;Bánovce nad Bebravou;719.2;7;102.742857142857;objednavatel
2011-03-01;Trenčiansky kraj;Ilava;2483.7;15;165.58;objednavatel
2011-03-01;Trenčiansky kraj;Myjava;47875.59;2;23937.795;objednavatel
2011-03-01;Trenčiansky kraj;Nové Mesto nad Váhom;15057.8;6;2509.63333333333;objednavatel
2011-03-01;Trenčiansky kraj;Partizánske;460003.49;18;25555.7494444444;objednavatel
2011-03-01;Trenčiansky kraj;Považská Bystrica;15992;4;3998;objednavatel
2011-03-01;Trenčiansky kraj;Prievidza;125871.95;19;6624.83947368421;objednavatel
2011-03-01;Trenčiansky kraj;Púchov;2881.55;9;320.172222222222;objednavatel
2011-03-01;Trenčiansky kraj;Trenčín;3686870.57;175;21067.8318285714;objednavatel
2011-03-01;Trnavský kraj;Dunajská Streda;2192.4;6;365.4;objednavatel
2011-03-01;Trnavský kraj;Galanta;10000;8;1250;objednavatel
2011-03-01;Trnavský kraj;Hlohovec;24369.44;11;2215.40363636364;objednavatel
2011-03-01;Trnavský kraj;Piešťany;17961.16;18;997.842222222222;objednavatel
2011-03-01;Trnavský kraj;Senica;19989.47;10;1998.947;objednavatel
2011-03-01;Trnavský kraj;Skalica;0;2;0;objednavatel
2011-03-01;Trnavský kraj;Trnava;3230373.42;111;29102.4632432432;objednavatel
2011-03-01;Žilinský kraj;Čadca;2030671.41;26;78102.7465384615;objednavatel
2011-03-01;Žilinský kraj;Dolný Kubín;4845834.14;166;29191.7719277108;objednavatel
2011-03-01;Žilinský kraj;Kysucké Nové Mesto;8727;3;2909;objednavatel
2011-03-01;Žilinský kraj;Liptovský Mikuláš;1074619.96;31;34665.16;objednavatel
2011-03-01;Žilinský kraj;Martin;924910.49;159;5817.04710691824;objednavatel
2011-03-01;Žilinský kraj;Námestovo;3220450.84;62;51942.755483871;objednavatel
2011-03-01;Žilinský kraj;Ružomberok;878742.2;66;13314.2757575758;objednavatel
2011-03-01;Žilinský kraj;Turčianske Teplice;0;1;0;objednavatel
2011-03-01;Žilinský kraj;Tvrdošín;94.5;5;18.9;objednavatel
2011-03-01;Žilinský kraj;Žilina;3779893.08;140;26999.2362857143;objednavatel
2011-04-01;Banskobystrický kraj;Banská Bystrica;9932542.062;624;15917.5353557692;objednavatel
2011-04-01;Banskobystrický kraj;Banská Štiavnica;24062.23;10;2406.223;objednavatel
2011-04-01;Banskobystrický kraj;Brezno;6023877.16;133;45292.3094736842;objednavatel
2011-04-01;Banskobystrický kraj;Detva;88430;5;17686;objednavatel
2011-04-01;Banskobystrický kraj;Krupina;3978;8;497.25;objednavatel
2011-04-01;Banskobystrický kraj;Lučenec;8176.3;11;743.3;objednavatel
2011-04-01;Banskobystrický kraj;Poltár;90;1;90;objednavatel
2011-04-01;Banskobystrický kraj;Revúca;1957609.6;56;34957.3142857143;objednavatel
2011-04-01;Banskobystrický kraj;Rimavská Sobota;26886.68;62;433.656129032258;objednavatel
2011-04-01;Banskobystrický kraj;Veľký Krtíš;17749.88;15;1183.32533333333;objednavatel
2011-04-01;Banskobystrický kraj;Zvolen;1946327.66;108;18021.5524074074;objednavatel
2011-04-01;Banskobystrický kraj;Žarnovica;3.78;3;1.26;objednavatel
2011-04-01;Banskobystrický kraj;Žiar nad Hronom;265460.59;22;12066.3904545455;objednavatel
2011-04-01;Bratislavský kraj;BA;1294149396.5202;6031;214582.887832897;objednavatel
2011-04-01;Bratislavský kraj;Malacky;360;4;90;objednavatel
2011-04-01;Bratislavský kraj;Pezinok;131167.56;29;4523.01931034483;objednavatel
2011-04-01;Bratislavský kraj;Senec;292281.2;32;9133.7875;objednavatel
2011-04-01;Košický kraj;Gelnica;180;2;90;objednavatel
2011-04-01;Košický kraj;KE;17039029.96;254;67082.7951181102;objednavatel
2011-04-01;Košický kraj;Košice-okolie;52538.86;21;2501.85047619048;objednavatel
2011-04-01;Košický kraj;Michalovce;293385.57;22;13335.7077272727;objednavatel
2011-04-01;Košický kraj;Rožňava;24572.6;17;1445.44705882353;objednavatel
2011-04-01;Košický kraj;Sobrance;112322.83;64;1755.04421875;objednavatel
2011-04-01;Košický kraj;Spišská Nová Ves;6067.36;13;466.72;objednavatel
2011-04-01;Košický kraj;Trebišov;6885010.24;387;17790.7241343669;objednavatel
2011-04-01;Nitriansky kraj;Komárno;178845.84;47;3805.23063829787;objednavatel
2011-04-01;Nitriansky kraj;Levice;412778.355;148;2789.04293918919;objednavatel
2011-04-01;Nitriansky kraj;Nitra;22911197.108;224;102282.129946429;objednavatel
2011-04-01;Nitriansky kraj;Nové Zámky;8811373.99;72;122380.194305556;objednavatel
2011-04-01;Nitriansky kraj;Šaľa;270;15;18;objednavatel
2011-04-01;Nitriansky kraj;Topoľčany;84631.71;32;2644.7409375;objednavatel
2011-04-01;Nitriansky kraj;Zlaté Moravce;204843.71;28;7315.84678571429;objednavatel
2011-04-01;Prešovský kraj;Bardejov;3877833.88;289;13418.1103114187;objednavatel
2011-04-01;Prešovský kraj;Humenné;86399.83;35;2468.56657142857;objednavatel
2011-04-01;Prešovský kraj;Kežmarok;60036.17;10;6003.617;objednavatel
2011-04-01;Prešovský kraj;Levoča;3281.78;34;96.5229411764706;objednavatel
2011-04-01;Prešovský kraj;Medzilaborce;0;3;0;objednavatel
2011-04-01;Prešovský kraj;Poprad;22020.89;8;2752.61125;objednavatel
2011-04-01;Prešovský kraj;Prešov;43754.03;5;8750.806;objednavatel
2011-04-01;Prešovský kraj;Sabinov;0;2;0;objednavatel
2011-04-01;Prešovský kraj;Snina;58513.3;52;1125.25576923077;objednavatel
2011-04-01;Prešovský kraj;Stará Ľubovňa;31522.377;6;5253.7295;objednavatel
2011-04-01;Prešovský kraj;Stropkov;29090;6;4848.33333333333;objednavatel
2011-04-01;Prešovský kraj;Svidník;803.38;7;114.768571428571;objednavatel
2011-04-01;Prešovský kraj;Vranov nad Topľou;5057454.04;198;25542.6971717172;objednavatel
2011-04-01;Trenčiansky kraj;Bánovce nad Bebravou;16146;4;4036.5;objednavatel
2011-04-01;Trenčiansky kraj;Ilava;2197.71;25;87.9084;objednavatel
